life_expectancy,state,median_income,unemployment,income_inequality,gender_pay_gap,disconnected_youth,adult_smoking,physical_inactivity,adult_obesity,diabetes_prevalence,food_insecurity,insufficient_sleep,pm25,primary_care_physicians,homeownership,severe_housing_cost_burden
77.099412282,US,77719,0.036390896,4.8887130802,0.8139163012,0.0681812388,0.132,0.232,0.335,0.1,0.135,0.368,7.3,7.494266e-4,0.6502210081,0.147123724
73.279289325,AL,62248,0.0249824318,5.1673051842,0.7478229933,0.0757188347,0.162,0.278,0.384,0.135,0.174,0.414,8.6,6.365235e-4,0.6993339614,0.1232858113
76.580109234,AL,74248,0.0227949698,4.3595257111,0.7219864574,0.0805445762,0.147,0.238,0.368,0.102,0.149,0.364,7.8,6.26844e-4,0.7753534372,0.1155147835
72.936172299,AL,64962,0.0214429478,4.6197221786,0.8129917054,0.0548302872,0.195,0.297,0.373,0.116,0.174,0.376,8.8,2.032486e-4,0.7950584702,0.0936733221
70.813154873,AL,51841,0.0281949934,4.8695115258,0.7995795911,0.0732828556,0.18,0.285,0.383,0.127,0.182,0.428,8.9,5.863484e-4,0.703867036,0.1096265368
72.70685113,AL,59165,0.0219287439,4.012359927,0.7037769186,0.177635099,0.155,0.277,0.363,0.116,0.175,0.341,8.9,2.208773e-4,0.768314914,0.1025839947
70.418927021,AL,49128,0.0266233766,5.7584695098,0.7761343547,0.1988217968,0.2,0.305,0.403,0.129,0.164,0.404,8.5,2.293052e-4,0.7420689655,0.1160599572
72.853788329,AL,61231,0.02041586,4.5749921556,0.6815436841,0.1109595271,0.186,0.305,0.397,0.116,0.174,0.374,8.7,4.804684e-4,0.7635700431,0.0913160521
73.008730369,AL,54697,0.0253325785,4.8111002468,0.7160784896,0.1012323944,0.185,0.293,0.443,0.135,0.19,0.397,9,2.837339e-4,0.6134351763,0.1042850316
67.706493274,AL,39013,0.0542217626,5.5928829504,0.7197334242,0.1790123457,0.197,0.345,0.505,0.175,0.191,0.476,8.7,7.177224e-4,0.6101453036,0.1782864343
72.357615551,AL,50614,0.0227067475,4.7927204539,0.7869633986,0.1138494508,0.225,0.341,0.389,0.138,0.194,0.411,7.2,4.038266e-4,0.7675942342,0.0810355455
74.60542113,AL,73125,0.0212986475,4.0420000595,0.7828946245,0.1327683616,0.158,0.256,0.364,0.114,0.141,0.422,9.4,2.239541e-4,0.768637216,0.0925560994
70.098328137,AL,50333,0.0311634349,5.3975738018,0.8087372507,0.2833723653,0.217,0.327,0.435,0.15,0.193,0.461,8.9,2.997357e-4,0.686878961,0.1196551724
70.243289319,AL,52504,0.0279482627,4.8791989664,0.7740959714,0.0607104413,0.188,0.299,0.413,0.126,0.175,0.462,7.9,7.367054e-4,0.7375127681,0.1212646283
70.579638414,AL,50006,0.0244293866,4.3964702736,0.790091715,0.1133272892,0.18,0.302,0.382,0.125,0.206,0.412,8.9,2.996142e-4,0.7827488152,0.0933306629
73.542174929,AL,59412,0.0258287321,5.1652568239,0.7299782284,0.0718276137,0.188,0.295,0.375,0.13,0.174,0.404,9.3,8.189246e-4,0.63915831,0.1309954973
70.899564188,AL,51479,0.0248275275,4.6348426085,0.7367008866,0.0839630563,0.207,0.311,0.386,0.124,0.2,0.421,7.9,5.116253e-4,0.7504012083,0.095359028
